Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,GA Sessions,GA % New Sessions,GA Users,GA New Users,GA Bounce Rate,GA Page Views Per Session,GA Avg Session Duration,GA Goal Conversion Rate All,GA Goal Completions All,GA Goal Value All,GA Page Value,Clicks,Impressions,CTR,Position,Majestic External Backlinks - URL (Exact URL),Majestic Referring Domains - URL (Exact URL),Majestic Trust Flow - URL (Exact URL),Majestic Citation Flow - URL (Exact URL),Ahrefs Backlinks - Exact,Ahrefs RefDomains - Exact,Ahrefs URL Rating - Exact,Ahrefs NoFollow - Exact,Ahrefs DoFollow - Exact,Ahrefs Redirect - Exact,URL Encoded Address,Crawl Timestamp
https://www.domain.com/products/category-3/1,text/html; charset=UTF-8,200,OK,Indexable,,,77,732,,126,772,,0,,65,,0,,6,,10,,,,,,,,,,179155,582,3.841,3,11,25,14,0,10.29,43,32,0,20,15,0,,,,,,0.473,,,,,1.1,33,45.45,30,15,51.52,1.73,00:02:03,160.61,53,7,0.55,22,884,0.025,35.04,3,3,9,23,3,3,12,2,0,0,,2021-11-12 12:33:26
https://www.domain.com/products/category-3/2,text/html; charset=UTF-8,200,OK,Indexable,,,65,629,,155,987,,0,,53,,0,,6,,10,,,,,,,,,,190317,665,3.842,3,14,30,16,0,11.76,47,36,0,20,15,0,,,,,,0.573,,,,,1.1,181,81.22,169,147,44.2,2.13,00:01:43,172.93,313,40,0.65,168,5002,0.034,15.89,18,7,9,24,14,14,18,12,1,0,,2021-11-12 12:33:26
https://www.domain.com/products/category-3/3,text/html; charset=UTF-8,200,OK,Indexable,,,71,667,,118,738,,0,,59,,0,,6,,10,,,,,,,,,,190542,712,3.94,3,2,23,9,0,6.62,46,36,0,20,15,0,,,,,,0.361,,,,,1.1,256,85.16,235,218,35.55,1.54,00:01:11,158.2,405,25,0.3,256,6055,0.042,35.58,51,21,5,24,27,18,20,21,5,0,,2021-11-12 12:33:39
https://www.domain.com/products/category-3/4,text/html; charset=UTF-8,200,OK,Indexable,,,57,547,,152,966,,146,,45,,0,,6,,10,,,,,,,,,,191913,654,3.812,3,19,40,23,0,16.91,47,36,0,20,15,0,,,,,,0.326,,,,,1.1,274,72.26,241,198,42.34,1.54,00:00:52,152.19,417,24,0.28,225,7465,0.03,10.9,12,6,10,26,13,13,18,12,0,0,,2021-11-12 12:33:31
https://www.domain.com/products/category-3/5,text/html; charset=UTF-8,200,OK,Indexable,,,59,527,,155,915,,84,,47,,0,,6,,10,,,,,,,,,,190096,551,3.377,3,13,30,18,0,13.24,46,35,0,20,15,0,,,,,,0.316,,,,,1.1,119,78.15,110,93,46.22,1.57,00:00:56,157.98,188,22,0.42,107,14400,0.007,41.21,6,5,10,25,7,6,14,4,2,0,,2021-11-12 12:33:25
https://www.domain.com/products/category-3/6,text/html; charset=UTF-8,200,OK,Indexable,,,70,647,,153,919,,89,,58,,0,,6,,10,,,,,,,,,,190543,552,3.357,3,10,24,12,0,8.82,46,35,0,20,15,0,,,,,,0.494,,,,,1.1,49,61.22,41,30,51.02,1.31,00:00:33,140.82,69,4,0.24,32,1789,0.018,33.08,8,7,10,25,14,12,17,7,4,0,,2021-11-12 12:33:29
https://www.domain.com/products/category-3/7,text/html; charset=UTF-8,200,OK,Indexable,,,68,625,,159,987,,137,,56,,0,,6,,10,,,,,,,,,,198173,481,3.02,3,10,24,12,0,8.82,43,32,0,20,15,0,,,,,,0.49,,,,,1.1,71,74.65,63,53,45.07,1.89,00:02:24,160.56,114,14,0.66,50,3667,0.014,18.58,5,5,8,20,10,10,16,8,1,0,,2021-11-12 12:33:20
https://www.domain.com/products/category-3/8,text/html; charset=UTF-8,200,OK,Indexable,,,65,611,,122,759,,0,,53,,0,,6,,10,,,,,,,,,,196865,502,3.096,3,10,21,11,0,8.09,43,32,0,20,15,0,,,,,,0.483,,,,,1.1,20,70,18,14,55,2.35,00:00:54,160,32,4,0.34,17,915,0.019,17.53,2,2,8,20,3,2,9,2,0,0,,2021-11-12 12:33:37
https://www.domain.com/products/category-3/9,text/html; charset=UTF-8,200,OK,Indexable,,,65,625,,154,955,,143,,53,,0,,6,,10,,,,,,,,,,206285,713,3.556,3,11,26,15,0,11.03,44,33,0,20,15,0,,,,,,0.238,,,,,1.1,284,81.69,262,232,38.03,1.39,00:00:50,151.41,430,32,0.31,280,13844,0.02,22.91,5,5,9,19,12,7,15,11,0,0,,2021-11-12 12:33:41
https://www.domain.com/products/category-3/10,text/html; charset=UTF-8,200,OK,Indexable,,,60,541,,150,876,,0,,48,,0,,6,,10,,,,,,,,,,196212,496,3.168,3,6,20,8,0,5.88,43,32,0,20,15,0,,,,,,0.601,,,,,1.1,132,85.61,122,113,30.3,1.84,00:01:26,154.55,204,15,0.34,141,2603,0.054,14.1,5,5,8,17,7,7,15,6,0,0,,2021-11-12 12:33:22
